time:81.772,vol:340.009
time:81.9213,vol:341.513
time:82.0242,vol:342.373
time:82.1762,vol:343.974
time:82.3227,vol:344.802
time:82.4205,vol:345.334
time:82.5207,vol:346.348
time:82.6711,vol:346.907
time:82.777,vol:347.74
time:82.9236,vol:348.906
time:83.0704,vol:349.885
time:83.1788,vol:350.957
time:83.3199,vol:352.039
time:83.4712,vol:354.289
time:83.578,vol:354.826
time:83.7222,vol:355.051
time:83.8707,vol:355.117
time:83.9778,vol:355.138
time:84.1221,vol:355.162
time:84.2202,vol:355.191
time:84.3753,vol:355.245
time:84.5243,vol:355.301
time:84.6711,vol:355.35
time:84.7753,vol:355.388
time:84.9203,vol:355.409
time:85.023,vol:355.415
time:85.1721,vol:355.457
time:85.3233,vol:355.476
time:85.4707,vol:355.499
time:85.5725,vol:355.512
time:85.7201,vol:355.536
time:85.8205,vol:355.551
time:85.972,vol:355.562
time:86.121,vol:355.564
time:86.2231,vol:355.569
time:86.3719,vol:355.626
time:86.5208,vol:355.755
time:86.6726,vol:356.672
time:86.7741,vol:357.564
time:86.9213,vol:358.735
time:87.0707,vol:360.079
time:87.1768,vol:360.693
time:87.3201,vol:361.88
time:87.472,vol:362.207
time:87.5809,vol:362.637
time:87.7238,vol:362.733
time:87.8211,vol:362.766
time:87.979,vol:362.867
time:88.1206,vol:362.895
time:88.271,vol:362.897
time:88.3806,vol:362.898
time:88.5227,vol:362.898
time:88.6215,vol:362.899
time:88.7823,vol:362.9
time:88.9205,vol:362.904
time:89.0207,vol:362.908
time:89.1764,vol:362.911
time:89.3225,vol:362.918
time:89.4214,vol:362.918
time:89.5771,vol:362.938
time:89.7202,vol:362.951
time:89.8715,vol:362.958
time:89.9757,vol:362.962
time:90.1217,vol:362.963
time:90.2703,vol:363.671
time:90.3768,vol:365.422
time:90.5202,vol:366.901
time:90.6211,vol:367.483
time:90.7786,vol:369.443
time:90.9255,vol:370.41
time:91.0736,vol:371.077
time:91.1779,vol:371.599
time:91.32,vol:371.939
time:91.4725,vol:372.264
time:91.577,vol:372.457
time:91.7231,vol:372.668
time:91.8706,vol:372.822
time:91.9792,vol:372.922
time:92.1206,vol:373.021
time:92.2708,vol:373.495
time:92.3748,vol:374.167
time:92.5216,vol:374.71
time:92.6211,vol:374.803
time:92.7754,vol:374.929
time:92.9202,vol:374.96
time:93.0721,vol:374.979
time:93.1788,vol:374.984
time:93.3207,vol:374.998
time:93.4215,vol:375.003
time:93.5767,vol:375.023
time:93.7201,vol:375.046
time:93.8716,vol:375.078
time:93.9786,vol:375.111
time:94.1205,vol:375.149
time:94.2703,vol:375.161
time:94.3798,vol:375.244
time:94.5204,vol:375.508
time:94.6712,vol:376.125
time:94.778,vol:376.511
time:94.9223,vol:377.455
time:95.0703,vol:379.165
time:95.1783,vol:380.378
time:95.3202,vol:381.819
time:95.471,vol:382.463
time:95.5777,vol:382.887
time:95.7222,vol:383.755
time:95.8716,vol:384.636
time:95.9786,vol:385.044
time:96.1202,vol:385.453
time:96.2216,vol:385.825
time:96.3212,vol:386.662
time:96.4227,vol:387.155
time:96.5751,vol:389.392
time:96.7205,vol:390.407
time:96.8211,vol:391.253
time:96.977,vol:393.419
time:97.1215,vol:394.886
time:97.2713,vol:397.009
time:97.3778,vol:398.133
time:97.5211,vol:399.914
time:97.6713,vol:402.131
time:97.7779,vol:403.286
time:97.9225,vol:404.951
time:98.0709,vol:406.45
time:98.1751,vol:407.881
time:98.3208,vol:408.804
time:98.4206,vol:409.955
time:98.5807,vol:411.868
time:98.7206,vol:413.986
time:98.8221,vol:414.214
time:98.9743,vol:416.598
time:99.1209,vol:417.62
time:99.2726,vol:419.154
time:99.3767,vol:421.149
time:99.5216,vol:423.829
time:99.624,vol:424.277
time:99.7243,vol:426.514
time:99.8711,vol:428.968
time:99.979,vol:431.071
time:100.121,vol:432.333
time:100.271,vol:433.383
time:100.379,vol:433.796
time:100.522,vol:434.104
time:100.622,vol:434.179
time:100.775,vol:434.239
time:100.921,vol:434.322
time:101.022,vol:434.473
time:101.121,vol:436.46
time:101.271,vol:438.546
time:101.375,vol:440.219
time:101.52,vol:442.521
time:101.672,vol:444.937
time:101.778,vol:447.222
time:101.922,vol:450.163
time:102.023,vol:450.734
time:102.181,vol:452.883
time:102.321,vol:453.557
time:102.474,vol:453.77
time:102.579,vol:453.773
time:102.721,vol:453.861
time:102.823,vol:453.868
time:102.976,vol:453.996
time:103.12,vol:454.09
time:103.271,vol:454.09
time:103.388,vol:454.09
time:103.521,vol:454.09
time:103.622,vol:454.09
time:103.722,vol:454.09
time:103.822,vol:454.09
time:103.921,vol:454.097
time:104.022,vol:454.105
time:104.178,vol:454.112
time:104.321,vol:454.145
time:104.422,vol:454.152
time:104.581,vol:454.194
time:104.72,vol:454.234
time:104.82,vol:454.259
time:104.921,vol:454.315
time:105.073,vol:454.353
time:105.184,vol:454.368
time:105.322,vol:454.382
time:105.473,vol:454.403
time:105.578,vol:454.431
time:105.72,vol:454.442
time:105.872,vol:454.453
time:105.978,vol:454.465
time:106.122,vol:454.471
time:106.271,vol:455.122
time:106.381,vol:458.505
time:106.52,vol:464.157
time:106.623,vol:466.124
time:106.722,vol:472.061
time:106.871,vol:475.232
time:106.976,vol:475.981
time:107.121,vol:479.692
time:107.221,vol:480.501
time:107.32,vol:482.022
time:107.472,vol:482.493
time:107.576,vol:482.626
time:107.723,vol:482.842
time:107.821,vol:483.116
time:107.973,vol:483.236
time:108.12,vol:483.244
time:108.272,vol:483.257
time:108.374,vol:483.286
time:108.522,vol:483.573
time:108.621,vol:484.183
time:108.779,vol:485.405
time:108.92,vol:486.419
time:109.02,vol:487.541
time:109.174,vol:489.307
time:109.321,vol:490.636
time:109.471,vol:491.083
time:109.577,vol:491.436
time:109.722,vol:491.767
time:109.871,vol:491.93
time:109.985,vol:492.02
time:110.122,vol:492.088
time:110.223,vol:492.089
time:110.322,vol:492.164
time:110.472,vol:492.248
time:110.581,vol:492.39
time:110.723,vol:492.506
time:110.823,vol:492.516
time:110.977,vol:492.727
time:111.121,vol:492.895
time:111.273,vol:493.085
time:111.378,vol:493.331
time:111.521,vol:493.696
time:111.623,vol:493.787
time:111.774,vol:494.255
time:111.922,vol:494.641
time:112.021,vol:494.884
time:112.177,vol:495.41
time:112.321,vol:495.685
time:112.422,vol:495.735
time:112.576,vol:495.947
time:112.722,vol:496.053
time:112.872,vol:496.152
time:112.975,vol:496.248
time:113.121,vol:496.35
time:113.221,vol:496.53
time:113.322,vol:496.922
time:113.421,vol:496.941
time:113.574,vol:497.248
time:113.72,vol:497.58
time:113.872,vol:497.888
time:113.975,vol:497.924
time:114.122,vol:497.934
time:114.223,vol:497.939
time:114.376,vol:497.955
time:114.522,vol:497.961
time:114.671,vol:497.977
time:114.774,vol:498.141
time:114.922,vol:498.657
time:115.07,vol:499.361
time:115.179,vol:499.668
time:115.321,vol:500.293
time:115.422,vol:500.368
time:115.521,vol:500.925
time:115.622,vol:501.197
time:115.773,vol:502.139
time:115.92,vol:502.49
time:116.072,vol:502.564
time:116.177,vol:502.574
time:116.323,vol:502.582
time:116.423,vol:502.593
time:116.575,vol:503.803
time:116.721,vol:505.087
time:116.821,vol:506.074
time:116.978,vol:507.707
time:117.122,vol:509.099
time:117.27,vol:509.998
time:117.373,vol:510.61
time:117.522,vol:511.522
time:117.621,vol:511.65
time:117.776,vol:512.621
time:117.921,vol:512.986
time:118.021,vol:513.128
time:118.174,vol:513.907
time:118.321,vol:514.256
time:118.421,vol:514.691
time:118.52,vol:515.411
time:118.672,vol:516.227
time:118.775,vol:516.884
time:118.923,vol:517.791
time:119.022,vol:518.573
time:119.175,vol:519.732
time:119.32,vol:520.667
time:119.472,vol:521.397
time:119.576,vol:521.873
time:119.722,vol:522.246
time:119.87,vol:522.415
time:119.973,vol:522.958
time:120.12,vol:523.451
time:120.221,vol:524.498
time:120.324,vol:527.418
time:120.472,vol:529.437
time:120.574,vol:529.791
time:120.723,vol:529.989
time:120.874,vol:530.144
time:120.977,vol:530.282
time:121.124,vol:530.451
time:121.223,vol:530.503
time:121.323,vol:530.63
time:121.422,vol:530.68
time:121.521,vol:530.796
