time:49.0665,vol:403.438
time:49.1705,vol:404.612
time:49.3138,vol:405.612
time:49.4151,vol:407.625
time:49.5327,vol:409.08
time:49.6675,vol:412.786
time:49.8137,vol:416.005
time:49.9635,vol:419.42
time:50.0733,vol:421.688
time:50.2139,vol:423.995
time:50.3143,vol:425.028
time:50.4709,vol:427.331
time:50.6697,vol:428.34
time:50.8138,vol:430.406
time:50.9145,vol:430.783
time:51.0224,vol:432.194
time:51.1644,vol:433.084
time:51.2658,vol:434.293
time:51.3656,vol:434.781
time:51.4658,vol:436.168
time:51.6143,vol:437.774
time:51.738,vol:438.767
time:51.8664,vol:441.159
time:52.0134,vol:442.97
time:52.114,vol:443.655
time:52.2144,vol:445.981
time:52.3638,vol:448.171
time:52.4757,vol:451.038
time:52.6137,vol:454.812
time:52.7135,vol:456.205
time:52.8638,vol:459.735
time:52.9647,vol:461.668
time:53.0727,vol:463.627
time:53.2146,vol:464.817
time:53.3154,vol:464.874
time:53.4675,vol:465.447
time:53.6138,vol:465.878
time:53.7139,vol:466.493
time:53.8155,vol:467.281
time:53.966,vol:467.314
time:54.0668,vol:467.477
time:54.2134,vol:467.494
time:54.3634,vol:467.611
time:54.5135,vol:467.876
time:54.6139,vol:467.919
time:54.7656,vol:467.935
time:54.8803,vol:467.959
time:55.0138,vol:468.061
time:55.1635,vol:468.198
time:55.2673,vol:468.2
time:55.4132,vol:468.217
time:55.5135,vol:468.23
time:55.6698,vol:468.33
time:55.8145,vol:468.401
time:55.9142,vol:468.427
time:56.0145,vol:468.439
time:56.1638,vol:468.539
time:56.2705,vol:469.604
time:56.4143,vol:471.699
time:56.5643,vol:473.848
time:56.7151,vol:476.439
time:56.8647,vol:479.376
time:56.9655,vol:482.364
time:57.0743,vol:485.042
time:57.2159,vol:487.37
time:57.318,vol:488.229
time:57.4747,vol:491.366
time:57.6175,vol:494.481
time:57.7641,vol:496.862
time:57.872,vol:499.44
time:58.0143,vol:502.281
time:58.1644,vol:504.276
time:58.2655,vol:508.287
time:58.4404,vol:509.418
time:58.5644,vol:510.12
time:58.668,vol:512.056
time:58.8047,vol:512.202
time:58.9158,vol:513.804
time:59.0731,vol:516.95
time:59.1971,vol:517.788
time:59.3147,vol:519.471
time:59.4653,vol:520.509
time:59.5689,vol:521.022
